0xF6F6C0
0xE0F7BB
0xC2F6C1
0xB5F4E2
0xE7E877
0xBAEB6E
0x7BE87B
0x67E390
0xFFFF00
0x92FF00
0x00FF00
0x00FF9C
0x9E9F04
0x61A802
0x04A104
0x018E6C
0x5A5A00
0x376600
0x005C00
0x004546
0xF6DCC2
0xF6C2C3
0xF6C2DD
0xF6C2F6
0xE9B581
0xE88383
0xE981B6
0xE87FE8
0xFF8800
0xFE0000
0xFF0088
0xFF00FE
0xA25904
0xA40404
0xA4045C
0xA404A3
0x592D00
0x5A0000
0x59002C
0x590063
0xC2F6F5
0xC2DCF6
0xC2C2F6
0xDCC2F6
0x7BE9E8
0x80B6EB
0x8282EA
0xB781EA
0x00FFFF
0x0088FF
0x0000FF
0x8800FF
0x04A2A0
0x045DA4
0x1716A5
0x5E10A5
0x005A5A
0x012D5A
0x00005A
0x2D015A
0xFFFFFF
0xF0F0F0
0xDEDEDE
0xC9C9C9
0xB3B3B3
0x999999
0x808080
0x666666
0x4D4D4D
0x333333
0x202020
0x000000
